country,x1_2012,x2_2012,x9_2012,x11_2012,x12_2012,x14_2012,x15_2012,x16_2012,x18_2012,x19_2012,x21_2012,x25_2012,x29_2012,x31_2012,x35_2012,x36_2012,x37_2012,x38_2012,x45_2012,x47_2012,x48_2012,x49_2012,x58_2012,x67_2012,x68_2012,x69_2012,x86_2012,x100_2012,x121_2012,x125_2012,x126_2012,x129_2012,x131_2012,x132_2012,x134_2012,x139_2012,x140_2012,x142_2012,x143_2012,x146_2012,x149_2012,x150_2012,x153_2012,x154_2012,x155_2012,x156_2012,x157_2012,x161_2012,x162_2012,x163_2012,x167_2012,x169_2012,x171_2012,x172_2012,x173_2012,x174_2012,x179_2012,x187_2012,x190_2012,x191_2012,x192_2012,x195_2012,x204_2012,x205_2012,x211_2012,x212_2012,x213_2012,x218_2012,x219_2012,x220_2012,x221_2012,x222_2012,x223_2012,x242_2012,x243_2012,x244_2012,x253_2012,x255_2012,x258_2012,x261_2012,x268_2012,x274_2012,x275_2012,x277_2012,x283_2012,x284_2012,x9_2013,x11_2013,x12_2013,x14_2013,x15_2013,x16_2013,x18_2013,x19_2013,x21_2013,x25_2013,x29_2013,x31_2013,x35_2013,x36_2013,x41_2013,x42_2013,x45_2013,x47_2013,x48_2013,x49_2013,x58_2013,x86_2013,x100_2013,x121_2013,x125_2013,x126_2013,x129_2013,x131_2013,x132_2013,x134_2013,x139_2013,x140_2013,x142_2013,x143_2013,x146_2013,x149_2013,x150_2013,x153_2013,x154_2013,x155_2013,x156_2013,x157_2013,x161_2013,x162_2013,x167_2013,x169_2013,x171_2013,x172_2013,x173_2013,x174_2013,x187_2013,x190_2013,x191_2013,x192_2013,x204_2013,x211_2013,x213_2013,x216_2013,x218_2013,x219_2013,x220_2013,x221_2013,x222_2013,x223_2013,x242_2013,x243_2013,x244_2013,x255_2013,x258_2013,x261_2013,x267_2013,x268_2013,x274_2013,x275_2013,x283_2013,x284_2013
AFGHANISTAN,43,19.48096156,18526837705,623.2368043,0.67734516,8.965463611,1833022030,1.6,0.125552347,25910919.16,1.262037793,87.794,95.31270707,58.06757957,24.60324707,18.22478942,1737962.126,17775,11.93211408,4.434656972,338150,0.669510483,36.396,46,17.4,36.6,2.24445419,8.677,5.516850325,5.272,0.005029416,122.57,0.299592102,61525860,2.067824648,20536542737,14.43474129,690.842629,10.90225788,-16.81164288,57.70713719,8.47919927,104.4518479,39.14239744,30.5,51.6,189,21.84732495,7.218257761,6.450817627,5.454545455,15.86454434,60.893,58.524,59.67960976,2.750151257,12.82946486,65.45219346,71.7,37.4,99.5,473007,70.48823913,40.71588135,193471182.8,1.225798941,251736723.4,2.350811152,45.53319701,3.135546164,46.44924313,51.19994572,48.56403832,0,27.7,0,0,1586.110689,74.532,1.110109284,652860,59.9152,54.113,0.37200757,25.468,4.69466817,18346129155,597.9346258,0.714527326,9.085618396,1840836975,1.6,0,0,1.210510444,82.2638,92.60278504,58.06757957,23.89137214,0.005170768,43.0116649,20.28,11.92445547,4.142137774,330650,0.748128911,35.253,2.391559634,8.445,6.307895037,5.05,0.004909715,119.84,0.19386971,39663686,2.067824648,20458939155,1.959122899,666.7950511,-1.216694843,-26.21814332,54.96414784,8.09959347,114.2100633,49.7577749,31.1,53.4,189,21.15326822,7.654316567,5.9,15.93967023,61.256,58.859,60.02826829,2.434606475,70.66135885,69.9,36.8,96.7,73.79183017,281866156.3,313756248.1,99.19824711,2.394413754,46.99705909,3.164336274,45.68525707,51.92032918,48.50709036,0,27.7,0,1536.706592,74.129,0.97775605,9,652860,60.48056,54.65234,25.871,4.734332923
ALBANIA,100,62.08641231,10371472753,3575.766967,0.386038517,12.38101332,1521032560,2.842804,2.730370138,334539910.7,2.97150938,20.798,45.83573419,43.84306569,21.66068032,5.392662048,814339.7303,10309.17914,22.59489051,1.152627404,14750,36.06754848,12.756,5.1,5.5,89.5,24.27876289,6.812,33.35164263,1.76,5.062738707,131.61,7.468317556,920080650.1,28.2620438,12319784787,1.42,4247.485437,1.570041328,9.693324489,220.428729,5.62743862,79.46185964,51.98686783,92.1,95.4,16,26.4525978,2.03159594,5.073771447,54.65595904,41.07245142,80.46,74.389,77.35046341,0.051873373,5.325983018,110.6865316,13.8,7,15.5,-91750,50.54799577,47.22893143,43505848.11,8.336631383,1027055045,11.50160709,105.8572628,-0.147831247,19.92809304,68.57029986,49.87129717,0,15.7,19.7,100,9274.29823,45.67,20.68616706,28750,90.42699,83.88874,9.476582149,54.33,1.865712376,10919250898,3768.681933,0.380054938,12.16809064,1579409027,2.842804,3.287768105,425587468.8,3.478004559,21.1438,45.24746852,43.33211679,22.50308997,0.665940464,4.873605948,1.311,22.52189781,0.660440397,8500,35.74435423,12.877,23.69911564,6.905,35.44905893,1.771,5.75292813,127.86,9.80972069,1253783309,28.2270073,12781029643,1.11,4411.258241,1.218983998,10.32712564,239.5770924,5.88232793,78.80344242,53.4805518,92.7,95.2,18,26.36833087,1.937617549,57.2,41.17667169,80.614,74.607,77.5372439,0.052599517,116.1572081,13.3,6.8,14.9,51.46465476,190612268.9,1093922787,99.94232046,11.76968183,105.7432847,-0.107729507,19.38229399,68.84802418,50.07340596,0,17.9,13.1,9284.29477,44.617,17.60219454,8,28750,90.56197,84.18982,55.383,1.811849278
ALGERIA,100,99.99,148000000000,3942.202841,0.620759858,7.01990293,14173325391,4.4671956,19.55038558,39494906924,19.91963875,11.431,49.84771253,17.38169993,9.395778166,7.200000053,4082595,54292,3.151897352,2.678572183,317200,6.011346437,24.946,14.5,8.2,77.3,5.058983035,5.13,36.89259527,2.909,,142.12,0.717733168,1500402453,0.811675498,209000000000,3.299991384,5583.61616,1.307090497,47.53148223,318.9757142,6.00727769,32.14935587,28.4543187,87,84.9,83,51.25972059,8.894585294,1.381333038,15.22802676,17.11296025,76.693,72.068,74.32409756,0.445115943,,97.52089467,22.4,15.9,26.1,-143268,25.78858566,47.54499054,44242618.92,0.102771562,214841268.6,5.645684695,15.71935938,1.948088888,27.61989653,66.73441877,49.66037007,0,31.6,2.3,1.083680332,300.485368,31.13,1.308780714,2381740,84.7533,76.51057,7.37894133,68.87,2.912500561,155000000000,4053.470579,0.640964449,7.020777092,14474052628,4.4671956,17.57761039,36256985407,17.93783271,11.1112,50.60069691,17.39553436,10.64823583,8.199999999,50.87111111,5.723,3.147362852,2.624006867,317200,6.321226807,24.738,5.064044269,5.131,33.2180496,2.893,3.264623716,157.54,0.806799348,1691886708,0.814866442,210000000000,2.8,5491.614414,0.789804876,46.19334166,313.5202115,6.63502639,34.6661876,30.40838801,87.2,84.5,81,47.79220494,3.253684177,16.5,17.26496422,76.965,72.287,74.56895122,0.440503983,100.7877205,22.1,15.7,25.8,25.12478417,38715810.2,209601443.4,99.97018154,5.709658754,16.03287303,1.974814461,27.8895861,66.40075514,49.66948868,0,31.6,2.4,294.6095487,30.49,1.571250927,2,2381740,85.02157,76.83289,69.51,2.899810018
AMERICAN SAMOA,59.32891,,,,,,,,,0,,,,24.5,,,56096.97968,3963.003648,15,,,,,,,,,,,,,102.05,,,88.2,,,,,,,,,,62.5,100,7.3,,,,,,,,,,,,,,,,,,,,,,276.135,-0.161023347,,,,,,,,,12.587,54.32125591,200,,,16.8381515,87.413,-0.260659243,,,,,,,,0,,,,24.5,,,,,15,,,,,,,,,,109.05,,,88.05,,,,,,,,,,62.5,100,7.2,,,,,,,,,,,,,,,,,,276.51,0.135711011,,,,,,,,12.666,36.16505732,,200,,,87.334,0.043490417
ANDORRA,100,100,,,0.152983115,9.237132079,291944321.8,3.1,0,0,,,,42.9787234,0.568068119,,,,5.106382979,,,,9.5,,,,,3.9,,,34.33511996,,,,34.04255319,3146177741,-1.760010328,39666.36921,1.968145012,,3413.940555,8.3020192,,,100,100,8.7,11.19964062,,0,86.43442462,,,,,,3.285892226,81.50204186,2.3,1.6,3.1,,17.46954968,47.02178955,,,,,168.7574468,-3.724710143,,,,,50,,,3979.020626,13.292,895.153563,470,,,9.829451538,86.708,-4.360235791,,,0.15182807,9.152450641,298733668.7,3.1,0,0,,,,44.25531915,0.523887556,,,,6.170212766,,,,,,,,,35.00972001,,,,34.04255319,3249100675,-0.063514313,42806.52255,4.431534067,,2947.964163,8.07364602,,,100,100,8.9,10.41931437,,94,,,,,,80.70261809,2.2,1.5,3,18.40114254,,,34.07380457,,161.493617,-4.399683922,,,,,50,,4157.993202,13.835,671.9190535,,470,,,86.165,-5.027367719
ANGOLA,37,44.29522157,58175180113,2564.40641,0.301913934,11.3390854,11699101365,3.6,31.95167669,32966142427,32.27595689,175.944,101.8369004,47.31691666,,,1132424,13072,3.769952675,1.422409737,117000,18.45379426,46.499,66.4,9.5,24.1,10.97698388,14.329,57.10986219,6.251,,158.49,-5.49673547,-6897954559,46.70762814,125000000000,,5531.776299,,50.00791261,190.4623683,3.47405127,31.78770622,36.60981362,49.1,47.8,380,,10.29349433,10.84577509,16.93721011,46.02231019,52.976,50.024,51.464,3.508440831,,61.40627578,104.1,51.1,172.2,102322,26.68608541,,523198954.7,0.0000359,45000,2.32705441,18.19654448,3.331567413,48.12799132,49.54495427,50.42281828,0,34.1,1.8,70.90682345,6523.953135,58.301,3.173815039,1246700,48.51496,42.81352,12.06321064,41.699,5.266279893,68945271384,2940.322306,0.303885846,12.13105836,13620145776,3.6,26.15603507,29366688373,26.46144096,171.2734,101.3152345,47.47734018,,,0.476891892,0.7058,3.930376193,1.371134295,117000,20.70540861,45.985,12.36646941,14.021,50.66840799,6.165,0.350974947,213.39,-5.146127222,-7120017424,46.60752386,138000000000,,5900.52957,,38.18565072,267.2242988,3.79896714,34.91547824,36.00821274,50.6,48.2,376,,8.776090933,19.1,46.08146811,53.392,50.413,51.86617073,3.364503638,61.87329711,101.4,50.4,167.1,24.40369328,670278740.1,,90.28603723,2.314083613,18.80821529,3.306204563,48.01257683,49.67333956,50.40744702,0,34.1,2.4,6311.784588,57.51,3.539717032,1,1246700,49.09112,43.3608,42.49,5.185361605
ANTIGUA AND BARBUDA,90.87544,99.98110968,,,0.461543492,9.034551667,104224686,2.1,0,0,,49.263,48.22599434,20.45454545,2.216846985,2.435676732,1310276.413,33606.03922,9.090909091,,180,78.21430502,16.594,,,,36.09891001,6.18,45.42108904,2.102,14.67401677,89.17,10.73841877,129367138.9,22.27272727,1204713111,4.019541839,13525.61622,2.948620195,9.180590529,726.9285249,5.4223434,73.30517356,58.26971745,,97.9,6.6,16.63992301,3.376880443,11.2252538,58,,78.129,73.234,75.62180488,,2.425303391,143.0138432,6.8,5.5,9.1,-56,23.97487402,48.21582031,2157660.741,1.731218811,20856220,7.1674769,202.4295455,1.034875307,25.36797314,67.46454996,52.24825697,0,10.5,0,0,583.8170407,74.865,,440,84.14264,77.36761,1.199169358,25.135,-1.061925426,,,0.466515614,9.213869005,107772223.3,2.1,0,0,,47.4636,47.22194954,20.45454545,2.283734274,5.548510105,16.15384615,0.0084,9.090909091,,180,82.92487894,16.447,35.53923383,6.142,45.79567109,2.088,17.38845363,88.9,11.18527367,134288999.6,22.27272727,1200587519,-0.34626098,13342.085,-1.360683661,9.107374004,665.260099,4.8666751,73.99472635,60.03627607,,97.9,7.1,18.05214282,1.059497824,63.4,,78.292,73.385,75.77865854,,127.0856254,6.4,5.3,8.7,26.71228249,2222448.148,21127350.74,100,7.124520753,204.5113636,1.023163952,24.95082514,67.92465411,52.23203867,0,10.5,0,577.8740901,75.357,689.0037228,5,440,84.35131,77.64121,24.643,-0.951490505
ARAB WORLD,86.27075087,86.58520561,1.98E12,5355.58428,0.666729404,9.552680135,,4.881453092,16.69267434,,17.07680569,49.43460593,61.70275263,38.35342095,6.185834657,0.876619866,152014159.7,1159025.939,4.355376987,2.881634429,3542060,18.12749841,26.91720768,25.82653702,11.96768589,62.20691936,11.03833966,5.739888806,58.02527951,3.373733639,3.196931738,115.0905177,1.829090552,49144078588,2.8563223,2.75E12,6.610002445,7465.145864,4.253977992,41.24253715,321.2737745,4.186539188,43.07487472,41.09646283,80.49263166,85.4178503,,52.76550724,4.249579927,,29.95430206,22.08865599,72.32976281,68.65058749,70.42899084,0.609730776,,105.0371746,30.33365226,18.84846377,40.19674209,-1168750,31.34982369,47.0043602,74269358759,2.081045646,45574890170,4.193279117,27.08341911,2.259889261,33.28641059,62.52031029,48.26490953,7.29047619,14.87201835,7.10952381,3.722679354,305.4339357,43.15099733,13.18550781,13152838.5,78.83342946,71.5727667,9.777657947,56.84900267,2.773175324,2.07E12,5483.110167,0.678992648,9.983719256,,4.876057583,15.52685802,,15.87376813,48.84320082,61.72390452,38.13313834,6.480981,6.469221645,215.0010125,245.1135,4.124221052,2.282374036,2866760,21.44414762,26.70435602,10.17037947,5.692407166,56.25359465,3.351307301,3.533357122,118.7687192,1.689632452,46598273225,2.838441627,2.83E12,2.830243732,7498.228102,0.599010583,39.30689544,311.3966555,4.147990678,44.09923673,42.73765796,82.77236152,87.86049693,,50.91628025,3.160409568,32.34204501,22.18316663,72.53611654,68.84838301,70.63130517,0.597002006,110.0126103,29.46447714,18.38878702,38.96433979,32.3766451,85450887353,45325474207,97.82105677,4.221333742,27.6841151,2.217947409,33.2877115,62.49095476,48.24783848,7.923809524,17.49244457,6.528571429,298.7671916,42.87830406,14.44419067,1.571428571,13152838.5,79.1125802,71.86417419,57.12169594,2.708266601
ARGENTINA,99.8,99.12235215,514000000000,12211.78668,0.320224031,10.5006778,62630767691,5.7,2.886737673,17217802512,3.312348401,63.976,56.66254981,54.53814645,6.697421299,-8.307785234,9375669.74,101716.2689,14.52630733,0.548688204,104350,51.37248808,17.874,11.3,7.3,81.4,13.25689692,7.602,15.48030963,2.347,12.53095176,106.03,2.535486456,15323933917,10.23221483,604000000000,0.801760179,14357.41159,-0.250930743,18.77293118,994.2932556,6.75251249,66.14391322,13.71601344,95.5,98.6,24,29.78948299,,7.033633747,55.8,40.32358775,79.754,72.066,75.8162439,0.137066584,16.83794691,156.564756,12.3,7,13.8,30000,20.12302425,48.80952835,979469395.8,0.095286267,575889669.5,10.59806927,15.3818021,1.049809261,25.57046614,63.83146459,51.08208,100,37.4,37,23.76906868,6936.653906,8.705,40.7884752,2780400,87.08599,75.30763,6.649813405,91.295,1.227413032,530000000000,12457.84657,0.329573374,10.4524857,63916009342,5.7,2.545619951,15566236898,2.884641969,63.9136,56.65528299,54.51804918,7.384589968,10.37878034,12.93835616,37.78,14.50621006,0.548062174,105650,56.75401792,17.716,13.30162343,7.584,14.32399611,2.335,14.56555076,118.41,1.451318534,8916661858,10.12376265,614000000000,2.885351883,14443.06565,1.813695577,18.47620555,1074.066944,7.27711746,65.94182106,14.39584912,95.8,98.8,24,28.78626226,,59.9,40.4204179,79.909,72.25,75.98609756,0.133253945,162.5274217,11.9,6.8,13.3,21.09914545,889350726.6,534766019.9,35.21349422,10.69983185,15.54370572,1.047065055,25.46574259,63.83442556,51.0780237,100,,41.9,6864.401552,8.548,41.77411492,2,2780400,87.23494,75.63809,91.452,1.218887275
ARMENIA,100,92.53452048,9012943444,3026.164397,0.510843623,10.76942384,1117971477,2.9,0,0,2.408854837,25.604,42.53044579,59.11485774,20.06807001,9.885563393,364733,6043,15.74991219,3.248149349,49100,49.47099857,13.474,3.8,4.3,91.9,20.88775495,8.943,27.56672188,1.581,7.142041595,123.47,4.676727878,496636701.1,11.64032315,10619320049,7.200000003,3565.517575,6.827290248,4.494606243,150.3955574,4.48215825,84.59542987,48.40002152,89.5,99.7,53,31.17545906,2.5554709,2.214724847,37.5,44.23317875,78.291,70.796,74.45209756,0.052786808,10.55881607,111.9146632,14.6,8.6,16.3,-9876,54.56981392,46.66569901,314788691.7,18.03301895,1914983997,10.40163662,104.613242,0.348282812,19.43791489,70.16044849,50.30911525,56,10.7,20.5,28.94474863,2302.961483,36.839,26.86060922,29740,86.91902,72.33405,8.104472377,63.161,0.016374313,9511357326,3178.725605,0.513034528,11.18626242,1227352752,1.654734983,0,0,2.125913826,24.5562,41.75119713,59.08324552,20.7403686,7.599999996,42.87797055,2.941,15.74288725,3.195861392,49100,52.86777117,13.308,21.31561133,9.063,28.3591265,1.553,8.165718482,129.22,3.415511991,379854996.8,11.64734809,11121465767,3.3,3716.828923,2.821750309,2.425589899,158.6215569,4.51975354,85.63934467,48.19706929,89.5,99.9,49,30.04950521,5.793787917,41.9,45.26205413,78.452,70.856,74.56136585,0.048293072,112.4206552,13.8,8.2,15.5,54.69471244,355297861.2,2192193827,98.19866483,10.44077385,105.0998244,0.46404666,19.01308472,70.54614142,51.60437566,63.8,10.7,21.9,2292.299425,37.025,40.10437833,5,29740,87.05511,72.60779,62.975,0.169115176
